id,name,givenName,familyName,group
F765C39D54CF8FAAC22583320029E45F,Artūrs Rubiks,Artūrs,Rubiks,“Concord” Social Democratic Party parliamentary group
507D89B1862A303BC22583320029E365,Valērijs Agešins,Valērijs,Agešins,“Concord” Social Democratic Party parliamentary group
A403365B1A9F0CCAC22583320029E377,Juris Pūce,Juris,Pūce,“Development/For!” parliamentary group
F3B9A9B2C3C3406CC22583320029E380,Uldis Budriķis,Uldis,Budriķis,New Conservatives’ parliamentary group
79BEC648723DFA08C22583320029E385,Juris Jurašs,Juris,Jurašs,New Conservatives’ parliamentary group
61DA2879573863FCC22583320029E395,Arvils Ašeradens,Arvils,Ašeradens,NEW UNITY parliamentary group
AD90D8A3E779103AC22583320029E3A4,Janīna Kursīte-Pakule,Janīna,Kursīte-Pakule,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
77621DC5904D27DFC22583320029E3A9,Ilze Indriksone,Ilze,Indriksone,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
3A075EB59C4F4C20C22583320029E3B7,Ramona Petraviča,Ramona,Petraviča,“The Independent” parliamentary group
8575F5AE8C80DFC5C22583320029E3AE,Atis Zakatistovs,Atis,Zakatistovs,Unaffiliated members of parliament
4480DE193DF835A3C22583320029E3AF,Ēriks Pucens,Ēriks,Pucens,Unaffiliated members of parliament
7BCC4D87791624FEC22583320029E3C7,Jānis Vucāns,Jānis,Vucāns,Union of Greens and Farmers parliamentary group
AF9F7174318A6023C22583320029E3C6,Gundars Daudze,Gundars,Daudze,Union of Greens and Farmers parliamentary group
45C5A1EB96613431C22583320029E3D0,Inga Goldberga,Inga,Goldberga,“Concord” Social Democratic Party parliamentary group
D7E5484DCB3482A3C22583320029E3D3,Ivans Ribakovs,Ivans,Ribakovs,“Concord” Social Democratic Party parliamentary group
B95E73AE3D8BBE20C22583320029E3D4,Jānis Tutins,Jānis,Tutins,“Concord” Social Democratic Party parliamentary group
B4B0F7ADBB8043BCC22583320029E3CD,Edgars Kucins,Edgars,Kucins,“Concord” Social Democratic Party parliamentary group
68F0FB45D89C400BC22583320029E3E2,Mārtiņš Bondars,Mārtiņš,Bondars,“Development/For!” parliamentary group
EEE9AB905648F5A7C22583320029E3D5,Vladimirs Nikonovs,Vladimirs,Nikonovs,“Concord” Social Democratic Party parliamentary group
13AE9BD5C9F87294C22583320029E3D6,Jānis Krišāns,Jānis,Krišāns,“Concord” Social Democratic Party parliamentary group
45EB831B2AB18C55C22583320029E3F4,Ilga Šuplinska,Ilga,Šuplinska,Unaffiliated members of parliament
3B129165BC5C8268C22583320029E3F5,Juris Rancāns,Juris,Rancāns,New Conservatives’ parliamentary group
DE7DDFC52912D419C22583320029E403,Aldis Adamovičs,Aldis,Adamovičs,NEW UNITY parliamentary group
E85287524F84DE45C22583320029E417,Edmunds Teirumnieks,Edmunds,Teirumnieks,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
0A7B729762AD91CDC22583320029E422,Janīna Kursīte,Janīna,Kursīte,Unaffiliated members of parliament
96FF6B2CA1C6A183C22583320029E434,Janīna Jalinska,Janīna,Jalinska,Union of Greens and Farmers parliamentary group
54ED10B72BF59C6FC22583320029E43E,Jānis Dūklavs,Jānis,Dūklavs,Union of Greens and Farmers parliamentary group
736E04018447AEA1C22583320029E442,Vjačeslavs Dombrovskis,Vjačeslavs,Dombrovskis,Unaffiliated members of parliament
462575B6023E7DC7C22583320029E447,Jūlija Stepaņenko,Jūlija,Stepaņenko,Unaffiliated members of parliament
736F9A5C98593FEAC22583320029E44D,Ļubova Švecova,Ļubova,Švecova,Unaffiliated members of parliament
2BD9A2B7E700ABFBC22583320029E452,Regīna Ločmele,Regīna,Ločmele,“Concord” Social Democratic Party parliamentary group
846198AFA25CA915C22583320029E455,Ivans Klementjevs,Ivans,Klementjevs,“Concord” Social Democratic Party parliamentary group
F483A271BEEB13BFC22583320029E456,Nikolajs Kabanovs,Nikolajs,Kabanovs,“Concord” Social Democratic Party parliamentary group
4C414288345F4DDDC22583320029E45E,Boriss Cilevičs,Boriss,Cilevičs,“Concord” Social Democratic Party parliamentary group
C7A852119E61AFD9C22583320029E45C,Jānis Urbanovičs,Jānis,Urbanovičs,“Concord” Social Democratic Party parliamentary group
C4BA4374C797ABEAC22583320029E45D,Andrejs Klementjevs,Andrejs,Klementjevs,“Concord” Social Democratic Party parliamentary group
CE9D2E3A1EDC54F5C22583320029E460,Igors Pimenovs,Igors,Pimenovs,“Concord” Social Democratic Party parliamentary group
DE2357B3FF7F0799C22583320029E469,Gatis Zamurs,Gatis,Zamurs,“Development/For!” parliamentary group
F928C23B8A9B4811C22583320029E483,Vita Anda Tērauda,Vita Anda,Tērauda,“Development/For!” parliamentary group
F3DA88336EAA1198C22583320029E482,Krista Baumane,Krista,Baumane,“Development/For!” parliamentary group
78AD99588ACC8184C22583320029E484,Māris Mičerevskis,Māris,Mičerevskis,Unaffiliated members of parliament
150F9D41CC7E2D61C22583320029E489,Inese Voika,Inese,Voika,“Development/For!” parliamentary group
38E1E2C23DB5243FC22583320029E49E,Jānis Butāns,Jānis,Butāns,New Conservatives’ parliamentary group
A0630896A28EB330C22583320029E49A,Līva Kreituse,Līva,Kreituse,New Conservatives’ parliamentary group
74B107F24CD91730C22583320029E4A0,Eva Mārtuža,Eva,Mārtuža,New Conservatives’ parliamentary group
86700E4BF79E6255C22583320029E4AE,Linda Medne,Linda,Medne,New Conservatives’ parliamentary group
4E9398F052AF5F04C22583320029E4B1,Reinis Znotiņš,Reinis,Znotiņš,New Conservatives’ parliamentary group
AB22DC16A65B017BC22583320029E4B3,Rihards Kozlovskis,Rihards,Kozlovskis,NEW UNITY parliamentary group
E2FD5EB20F0EC55EC22583320029E4B4,Kārlis Šadurskis,Kārlis,Šadurskis,NEW UNITY parliamentary group
8487FA389DF1B924C22583320029E4B6,Andrejs Judins,Andrejs,Judins,NEW UNITY parliamentary group
04507B29A37E77E9C22583320029E4D9,Rihards Kols,Rihards,Kols,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
64B647EDF8A8133DC22583320029E4DD,Ritvars Jansons,Ritvars,Jansons,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
D1518D23FFF7B5BBC22583320029E4E7,Jānis Iesalnieks,Jānis,Iesalnieks,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
781C010D8AE2F232C22583320029E4E8,Aleksandrs Kiršteins,Aleksandrs,Kiršteins,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
6A08FAF1ED0F58A9C22583320029E501,Artuss Kaimiņš,Artuss,Kaimiņš,Unaffiliated members of parliament
18FFD7EC6B29B919C22583320029E519,Ivars Puga,Ivars,Puga,Unaffiliated members of parliament
B1EB56D4E58F2AA6C22583320029E514,Didzis Šmits,Didzis,Šmits,Unaffiliated members of parliament
AA7771F3E3A7284FC22583320029E51D,Aldis Gobzems,Aldis,Gobzems,“The Independent” parliamentary group
7C23BE457765F0E9C22583320029E51E,Iveta Benhena-Bēkena,Iveta,Benhena-Bēkena,Unaffiliated members of parliament
1103B707673565DDC22583320029E529,Anda Čakša,Anda,Čakša,Unaffiliated members of parliament
B292BDDBDD70A1EDC22583320029E53E,Edgars Tavars,Edgars,Tavars,Union of Greens and Farmers parliamentary group
00E836A691F4A32AC22583320029E552,Jānis Ādamsons,Jānis,Ādamsons,Unaffiliated members of parliament
9AE384DC3DF26240C22583320029E557,Evija Papule,Evija,Papule,Unaffiliated members of parliament
6E80576A8814C7E0C22583320029E55A,Sergejs Dolgopolovs,Sergejs,Dolgopolovs,“Concord” Social Democratic Party parliamentary group
96CFEDF18CAB9231C22583320029E566,Mārtiņš Šteins,Mārtiņš,Šteins,“Development/For!” parliamentary group
AA7B91C34C669746C22583320029E571,Dace Rukšāne-Ščipčinska,Dace,Rukšāne-Ščipčinska,“Development/For!” parliamentary group
53B4E4BA43BC85DDC22583320029E573,Andris Skride,Andris,Skride,“Development/For!” parliamentary group
2A108BF616864F8EC22583320029E580,Viesturs Liepkalns,Viesturs,Liepkalns,“Development/For!” parliamentary group
EA0B229DAFFF5EB9C22583320029E584,Jānis Cielēns,Jānis,Cielēns,New Conservatives’ parliamentary group
EFD494718E8E5586C22583320029E58B,Dagmāra Beitnere-Le Galla,Dagmāra,Beitnere-Le Galla,New Conservatives’ parliamentary group
E895997F8A3BFAF5C22583320029E590,Ainars Bašķis,Ainars,Bašķis,New Conservatives’ parliamentary group
4AE72FE4EFB93EB6C22583320029E597,Evita Zālīte-Grosa,Evita,Zālīte-Grosa,New Conservatives’ parliamentary group
6A8C26108D145E37C22583320029E59A,Normunds Žunna,Normunds,Žunna,New Conservatives’ parliamentary group
094B636CDD3C074EC22583320029E5AD,Inese Lībiņa-Egnere,Inese,Lībiņa-Egnere,NEW UNITY parliamentary group
A8C08A2980030E40C22583320029E5B5,Ainars Latkovskis,Ainars,Latkovskis,NEW UNITY parliamentary group
566EF11833880FF9C22583320029E5BE,Romāns Naudiņš,Romāns,Naudiņš,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
10820A970C373806C22583320029E5D0,Jānis Dombrava,Jānis,Dombrava,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
E4E48A8CD239B960C22583320029E5CD,Ināra Mūrniece,Ināra,Mūrniece,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
01FAA34AD99A6953C22583320029E5D6,Karina Sprūde,Karina,Sprūde,“The Independent” parliamentary group
2EA91F52206F8252C22583320029E5D7,Māris Možvillo,Māris,Možvillo,“The Independent” parliamentary group
BB26E547129E6E20C22583320029E5D2,Raivis Dzintars,Raivis,Dzintars,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
2DE6973DB7C1EC91C22583320029E5D9,Aldis Blumbergs,Aldis,Blumbergs,Unaffiliated members of parliament
B48D838E757C9447C22583320029E5E4,Ieva Krapāne,Ieva,Krapāne,“The Independent” parliamentary group
1615235FD59207F3C22583320029E5FD,Armands Krauze,Armands,Krauze,Union of Greens and Farmers parliamentary group
7620E9A5B14FC7C9C22583320029E606,Raimonds Bergmanis,Raimonds,Bergmanis,Union of Greens and Farmers parliamentary group
29FABE476CCC27EEC22583320029E60B,Māris Kučinskis,Māris,Kučinskis,Union of Greens and Farmers parliamentary group
40EED6C265D34A1AC22583320029E613,Ivars Zariņš,Ivars,Zariņš,“Concord” Social Democratic Party parliamentary group
49A0CE0E2C6CF037C22583320029E614,Vitālijs Orlovs,Vitālijs,Orlovs,“Concord” Social Democratic Party parliamentary group
A60715ACB2608A77C22583320029E61F,Aigars Bikše,Aigars,Bikše,“Development/For!” parliamentary group
3B9C992573617919C22583320029E622,Ilmārs Dūrītis,Ilmārs,Dūrītis,“Development/For!” parliamentary group
D7E480BC46413BA2C22583320029E639,Krišjānis Feldmans,Krišjānis,Feldmans,New Conservatives’ parliamentary group
238DAFFF1FD5EF77C22583320029E63A,Sandis Riekstiņš,Sandis,Riekstiņš,New Conservatives’ parliamentary group
34DB44B91C0CEE13C22583320029E646,Atis Lejiņš,Atis,Lejiņš,NEW UNITY parliamentary group
5FDA3558612D689EC22583320029E65C,Inguna Rībena,Inguna,Rībena,Unaffiliated members of parliament
F501B4C572534D28C22583320029E65D,Edvīns Šnore,Edvīns,Šnore,National Alliance “All for Latvia!”–“For Fatherland and Freedom/LNNK” parliamentary group (National Alliance)
F2075094A989CDCFC22583320029E66A,Aivars Geidāns,Aivars,Geidāns,Unaffiliated members of parliament
87DF0FBB4E220BAAC22583320029E666,Kaspars Ģirģens,Kaspars,Ģirģens,Unaffiliated members of parliament
A4475BEC6D8A6B68C22583320029E66C,Ralfs Nemiro,Ralfs,Nemiro,“The Independent” parliamentary group
007260F64AC8FD87C22583320029E673,Uldis Augulis,Uldis,Augulis,Union of Greens and Farmers parliamentary group
37EF19346F1C2181C22583320029E67A,Viktors Valainis,Viktors,Valainis,Union of Greens and Farmers parliamentary group
