item,name,groupitem,group,district,constituency,gender,dob,dobPrecision,psid
Q11016682,Jānis Dombrava,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1988-06-29,11,Q11016682-0929B26C-7D81-45AC-82FB-97A74F20D12B
Q11119664,Ingūna Rībena,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,female,1956-07-24,11,Q11119664-E7F52BF6-9323-4F1A-BDB2-373D6D46B53E
Q1156612,Dace Rukšāne,Q58371178,"""Development/For!"" parliamentary group",,,female,1969-08-07,11,Q1156612-666BE43A-51F2-4F44-8F28-250EB923AFB4
Q11711469,Igor Vitalyevich Pimenov,Q49637655,Concord parliamentary group,,,male,1953-01-01,9,Q11711469-494AAB6F-D6EF-4E0E-BD6B-2EC38099CD31
Q11714346,Ivars Zariņš,Q49637655,Concord parliamentary group,,,male,1969-01-01,9,Q11714346-51B6F5A5-147B-4207-9244-E563756077B7
Q11731912,Jānis Iesalnieks,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1984-07-07,11,Q11731912-790B7EB5-6842-41BC-B13C-4DECC363F381
Q12667125,Arvils Ašeradens,Q49636278,Unity parliamentary group,,,male,1962-12-30,11,Q12667125-B2587EDD-FA40-49C7-8C40-33346EE81566
Q16350881,Aleksandrs Kiršteins,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1948-08-27,11,Q16350881-08DC8EDD-7C94-4244-97D5-E0887825F34C
Q16351725,Armands Krauze,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1970-06-10,11,Q16351725-F593181B-20C0-43C4-8AF2-22D9E3F08F84
Q164247,Jānis Urbanovičs,Q49637655,Concord parliamentary group,,,male,1959-03-23,11,Q164247-F8E4E8E8-AB72-48BD-BA00-F9868A0C76AB
Q177465,Raivis Dzintars,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1982-11-25,11,Q177465-9A722B1E-1E5B-44D8-9E6D-31F3A6818264
Q18342826,Mārtiņš Bondars,Q58371178,"""Development/For!"" parliamentary group",,,male,1971-12-31,11,Q18342826-E5A2217C-D40D-40C2-A8F0-772A9D31DD52
Q18517421,Regīna Ločmele-Luņova,Q49637655,Concord parliamentary group,,,female,1966-11-19,11,Q18517421-D69012C8-4CD3-4D8B-BE9C-B9BBF8B2E41E
Q18669970,Jūlija Stepaņenko,Q49638041,unaffiliated members of parliament,,,female,1977-09-01,11,Q18669970-7D027B19-D1F4-4203-99BE-6F0D55674C54
Q1976817,Jānis Ādamsons,Q49637655,Concord parliamentary group,,,male,1956-11-03,11,Q1976817-2A488171-6B7F-4950-B102-E94C324A135C
Q20562252,Artuss Kaimiņš,Q58371161,“The Independent” parliamentary group,,,male,1980-11-03,11,Q20562252-5A20BB0B-A759-4771-B8B6-9E03BE774E93
Q20562562,Rihards Kols,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1984-12-16,11,Q20562562-3A28B23C-0B8E-4F4C-8A8C-DEDC6E13ACDF
Q20819153,Eva Mārtuža,Q58371201,New Conservatives’ parliamentary group,,,female,1954-12-15,11,Q20819153-C55BFCB6-FE5F-4D81-BC9F-3804D6B03745
Q21279413,Juris Pūce,Q58371178,"""Development/For!"" parliamentary group",,,male,1980-01-22,11,Q21279413-B8CA9DE3-75B0-41A2-AC28-5FE879496FDB
Q21481146,Ritvars Jansons,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1968-12-24,11,Q21481146-126C8CF7-5345-4A98-BE02-3374FC0F6AA6
Q2340101,Andrejs Klementjevs,Q49637655,Concord parliamentary group,,,male,1973-09-07,11,Q2340101-CF283393-5652-4E8E-84DE-E4CFD4ED484B
Q2340280,Sergejs Dolgopolovs,Q49637655,Concord parliamentary group,,,male,1941-09-03,11,Q2340280-C26A5BB9-BE18-4FCF-825D-C42C38DC9A41
Q2451422,Ivans Klementjevs,Q49637655,Concord parliamentary group,,,male,1960-11-18,11,Q2451422-A98B0847-36B5-4E2A-A03F-65F1C4DEA199
Q24639958,Anda Čakša,Q49636011,Union of Greens and Farmers parliamentary group,,,female,1974-07-11,11,Q24639958-1C03CD77-ACC3-4DF8-9901-9B395C54328F
Q2576371,Jānis Dūklavs,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1952-11-24,11,Q2576371-535D3E1A-A676-4C21-B334-79251CD7F734
Q2577102,Gundars Daudze,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1965-05-09,11,Q2577102-B4D8257F-50C1-41DD-A494-18E40AD59E04
Q2607084,Rihards Kozlovskis,Q49636278,Unity parliamentary group,,,male,1969-05-26,11,Q2607084-FB2D672A-A385-4C05-A702-1DF4C2BBE8FA
Q2671968,Uldis Augulis,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1972-03-16,11,Q2671968-6C12C146-8BEF-4E5B-99B9-E386D52C80A7
Q28527298,Aldis Adamovičs,Q49636278,Unity parliamentary group,,,male,1970-01-01,9,Q28527298-4CD99341-912E-42CB-ABD5-1F0D32A3ECAF
Q31286016,Atis Zakatistovs,Q58371161,“The Independent” parliamentary group,,,male,1968-04-16,11,Q31286016-1043C4AF-18D7-439E-91CC-EE00514728CF
Q35768253,Krišjānis Feldmans,Q58371201,New Conservatives’ parliamentary group,,,male,1985-02-11,11,Q35768253-C9CB15CA-D6E4-4008-9A0E-7C3270B10DA8
Q3736505,Valērijs Agešins,Q49637655,Concord parliamentary group,,,male,1972-06-23,11,Q3736505-D3D6528F-6D9C-47D9-9FFC-EC9788350131
Q3743265,Janīna Kursīte-Pakule,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,female,1952-03-02,11,Q3743265-318823A0-AB98-4620-A30F-BD968235B8B7
Q4206574,Nikolai Kabanov,Q49637655,Concord parliamentary group,,,male,1970-09-26,11,Q4206574-FBB4673C-9639-49C2-8384-4846007F63BD
Q42269368,Ivars Puga,Q58371161,“The Independent” parliamentary group,,,male,1960-01-01,9,Q42269368-4654478F-7FEA-4A0F-88AB-F03A7DD05BD4
Q4308133,Ināra Mūrniece,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,female,1970-12-30,11,Q4308133-5C54BE48-C1FC-475F-8163-1BB87C0AC22E
Q4356359,Inese Lībiņa-Egnere,Q49636278,Unity parliamentary group,,,female,1977-09-25,11,Q4356359-5A396CC8-BF63-4C43-8A03-857581773F80
Q4466616,Jānis Tutins,Q49637655,Concord parliamentary group,,,male,1966-06-23,11,Q4466616-4BC8ADF4-A362-412B-80BA-77AE8506364B
Q4801977,Artūrs Rubiks,Q49637655,Concord parliamentary group,,,male,1970-08-16,11,Q4801977-28760A51-1EFB-4E40-9860-D42F8D17DF74
Q50285050,Janīna Kursīte,Q58371161,“The Independent” parliamentary group,,,female,1964-01-01,9,Q50285050-E7DACCE6-8301-466F-9B73-0C4ECCFB5462
Q56087971,Aldis Gobzems,Q49638041,unaffiliated members of parliament,,,male,1978-10-10,11,Q56087971-A37D6004-22F4-42D8-B6A2-D213F62A22A7
Q58371452,Dagmāra Beitnere-Le Galla,Q58371201,New Conservatives’ parliamentary group,,,female,1955-03-13,11,Q58371452-046882ED-54BD-490D-8C8B-2316747D7D6A
Q58371453,Iveta Benhena-Bēkena,Q58371161,“The Independent” parliamentary group,,,female,1986-01-22,11,Q58371453-CE9D0021-82AC-442D-BE32-633FC3FEE7D7
Q58371456,Aldis Blumbergs,Q58371161,“The Independent” parliamentary group,,,male,1969-01-01,9,Q58371456-156743E5-F1F2-4351-BEA6-ACBE4DF0A91E
Q58371458,Uldis Budriķis,Q58371201,New Conservatives’ parliamentary group,,,male,1991-01-01,9,Q58371458-4BBB99C4-42ED-4878-B996-3FD1C8610E09
Q58371476,Ilmārs Dūrītis,Q58371178,"""Development/For!"" parliamentary group",,,male,1976-06-19,11,Q58371476-CB1337B1-6FB7-4B4C-AA6B-A42C7E41B563
Q58371481,Inga Goldberga,Q49637655,Concord parliamentary group,,,female,1966-07-29,11,Q58371481-41F694C6-1976-45A7-A93B-BE332E0039D1
Q58371483,Kaspars Ģirģens,Q58371161,“The Independent” parliamentary group,,,male,1985-01-01,9,Q58371483-98E29A2C-DA68-477C-B057-128F551BE1F2
Q58371485,Ilze Indriksone,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,female,1974-01-01,9,Q58371485-9C4CE00E-F814-4AB1-89C2-F70F0096E069
Q58371486,Janīna Jalinska,Q49636011,Union of Greens and Farmers parliamentary group,,,female,1958-01-01,9,Q58371486-7C09DA2D-F237-4544-8A2B-DFF02EB217A6
Q58371488,Juris Jurašs,Q58371201,New Conservatives’ parliamentary group,,,male,1975-01-01,9,Q58371488-8DC989E0-C489-4EEB-9D72-4553B25DCD78
Q58371491,Ieva Krapāne,Q58371161,“The Independent” parliamentary group,,,female,1981-01-01,9,Q58371491-4D04C098-B7CD-4C80-819B-0B5B8D59732F
Q58371492,Jānis Krišāns,Q49637655,Concord parliamentary group,,,male,1960-01-01,9,Q58371492-D5E9217F-FC8C-4493-A791-D7D74E212EF5
Q58371494,Edgars Kucins,Q49637655,Concord parliamentary group,,,male,1973-01-01,9,Q58371494-5344C2B3-1786-4E24-AF69-EF3DCB1E64D2
Q58371501,Ralfs Nemiro,Q58371161,“The Independent” parliamentary group,,,male,1981-01-01,9,Q58371501-d838f63f-4c37-d823-3925-818dd015b3fc
Q58371505,Evija Papule,Q49637655,Concord parliamentary group,,,female,1964-01-01,9,Q58371505-945309EF-7392-4AC6-AFCA-B75D4B0B7DF6
Q58371507,Ramona Petraviča,Q58371161,“The Independent” parliamentary group,,,female,1967-09-25,11,Q58371507-75AE3C55-DBEF-442A-A6A4-64B47758C861
Q58371510,Ēriks Pucens,Q58371161,“The Independent” parliamentary group,,,male,1986-01-01,9,Q58371510-512EE327-5FCD-4C2A-9A80-91E15B3C5A49
Q58371511,Juris Rancāns,Q58371201,New Conservatives’ parliamentary group,,,male,1977-01-01,9,Q58371511-5F8DDED7-F581-4D60-86D8-FD95409739EB
Q58371513,Sandis Riekstiņš,Q58371201,New Conservatives’ parliamentary group,,,male,1979-01-01,9,Q58371513-42B44B85-BBF1-4AEC-8B66-BE05C888E7D3
Q58371516,Andris Skride,Q58371178,"""Development/For!"" parliamentary group",,,male,1982-01-01,9,Q58371516-2F99AF8C-DFDC-4085-955D-FF7B531B96F9
Q58371517,Karina Sprūde,Q58371161,“The Independent” parliamentary group,,,female,1988-01-01,9,Q58371517-745E332D-7658-4AAE-BF64-30CC90B5D8CD
Q58371520,Didzis Šmits,Q58371161,“The Independent” parliamentary group,,,male,1975-01-01,9,Q58371520-BD6E8AA5-3F50-4161-9A7C-F3E51B3C68E2
Q58371522,Ilga Šuplinska,Q49638041,unaffiliated members of parliament,,,female,1970-04-16,11,Q58371522-0F084DC0-7A7A-4DDA-AD81-E2D9F00309AC
Q58371524,Ļubova Švecova,Q49637655,Concord parliamentary group,,,female,1970-01-01,9,Q58371524-DE1728D7-9256-4777-816D-90F28F32FE63
Q58371525,Edmunds Teirumnieks,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1977-01-01,9,Q58371525-F6690599-760C-4A43-955F-2982BEA7D43B
Q58371526,Vita Anda Tērauda,Q58371178,"""Development/For!"" parliamentary group",,,female,1962-05-19,11,Q58371526-927E2B9C-767A-4218-BC68-339B1FD56016
Q58371530,Inese Voika,Q58371178,"""Development/For!"" parliamentary group",,,female,1970-01-01,9,Q58371530-A236C3E2-E916-475A-B227-18C0AB114246
Q58371532,Evita Zālīte-Grosa,Q58371201,New Conservatives’ parliamentary group,,,female,1969-01-01,9,Q58371532-DF8DF3AD-40F1-4838-A4AF-8D02C15F16F2
Q58371533,Reinis Znotiņš,Q58371201,New Conservatives’ parliamentary group,,,male,1992-01-01,9,Q58371533-B716656C-7F41-4F84-B0BB-091330D8221A
Q58371534,Normunds Žunna,Q58371201,New Conservatives’ parliamentary group,,,male,1962-01-01,9,Q58371534-9D642E60-5BFA-416A-B945-DEEC688E04F4
Q58538767,Aigars Bikše,Q58371178,"""Development/For!"" parliamentary group",,,male,1969-02-08,11,Q58538767-c0f8b846-4df7-183f-ed5a-5bf3604667cf
Q6098308,Ivans Ribakovs,Q49637655,Concord parliamentary group,,,male,1960-01-01,9,Q6098308-E3558496-F581-49E7-99C8-98F41E7B9803
Q6111915,Raimonds Bergmanis,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1966-07-25,11,Q6111915-94413B84-8D1B-4EDD-9C39-29B339F7CA40
Q6111957,Jānis Vucāns,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1956-02-09,11,Q6111957-D54589BA-361E-4BDB-8C13-C38D4F19E199
Q6111985,Vitālijs Orlovs,Q49637655,Concord parliamentary group,,,male,1964-01-01,9,Q6111985-54210B49-3C31-4DA2-A9EC-C9471C8B3EAF
Q6112509,Māris Kučinskis,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1961-11-28,11,Q6112509-EC55ADFC-0DDA-458E-B664-A2E8B359FDCC
Q63385252,Jānis Butāns,Q58371201,New Conservatives’ parliamentary group,,,male,1978-01-01,9,Q63385252-2BBAFBA6-D527-4655-B306-CF7AA71723AD
Q63385253,Jānis Cielēns,Q58371201,New Conservatives’ parliamentary group,,,male,1986-01-01,9,Q63385253-5BF6214D-6485-4DE5-BB44-686ECC2EFCDC
Q63385663,Aivars Geidāns,Q49638041,unaffiliated members of parliament,,,male,1985-01-01,9,Q63385663-5320DFF3-B397-4908-9C25-7FB74D0A562C
Q63385676,Mārtiņš Šteins,Q58371178,"""Development/For!"" parliamentary group",,,male,1992-02-27,11,Q63385676-A75C0EAF-1167-4EBC-AA39-4B33EB18EACF
Q893825,Boriss Cilevičs,Q49637655,Concord parliamentary group,,,male,1956-03-26,11,Q893825-B572C58A-2690-467B-A306-538A84435317
Q9142842,Ainars Latkovskis,Q49636278,Unity parliamentary group,,,male,1967-12-23,11,Q9142842-36BA550B-ADFE-4FD0-83A2-7F08E4CED9F8
Q9151086,Andrejs Judins,Q49636278,Unity parliamentary group,,,male,1970-02-21,11,Q9151086-8830C373-BDE5-4882-BA82-D9AF50AA63EA
Q9161649,Atis Lejiņš,Q49636278,Unity parliamentary group,,,male,1942-09-28,11,Q9161649-E401AADD-6653-4785-8F22-1044E140CAD5
Q9322619,Romāns Naudiņš,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1980-10-21,11,Q9322619-8D43009D-AC04-4AB0-A200-230B408A65C9
Q9368732,Viktors Valainis,Q49636011,Union of Greens and Farmers parliamentary group,,,male,1986-08-09,11,Q9368732-E44592A1-60EE-4996-972E-8DDFAD5900FE
Q9368990,Vjačeslavs Dombrovskis,Q49637655,Concord parliamentary group,,,male,1977-12-27,11,Q9368990-3E8D417E-3476-4E62-B175-C87C99E42CBE
Q9381626,Vladimirs Nikonovs,Q49637655,Concord parliamentary group,,,male,1955-04-04,11,Q9381626-CE0F66CE-8865-447B-B953-B44F1272BDF7
Q973428,Edvīns Šnore,Q49637732,"National Alliance ""All For Latvia!"" – ""For Fatherland and Freedom/LNNK"" parliamentary group",,,male,1974-03-21,11,Q973428-15EAE1FA-883A-4230-BE28-C9AD506B6ED3
